Media	Bias Level	agree 	disagree	Keyword	Value	Normalized Value
Buzzfeed News	1	19267	8526	environment	0.001019441	0.232003373
Buzzfeed News	1	19267	8526	plastic	0.000618799	0.140394326
Buzzfeed News	1	19267	8526	recycling	4.32E-05	0.008780376
Buzzfeed News	1	19267	8526	recycle	2.61E-05	0.004870365
Buzzfeed News	1	19267	8526	solar	0.000350561	0.079060198
Buzzfeed News	1	19267	8526	tesla	0.000574207	0.130198114
New Republic	1	1534	809	environment	0.001266562	0.28850898
New Republic	1	1534	809	plastic	0.000397286	0.089744132
New Republic	1	1534	809	recycling	7.47E-05	0.015983028
New Republic	1	1534	809	recycle	2.21E-05	0.003955742
New Republic	1	1534	809	solar	0.000478781	0.108378422
New Republic	1	1534	809	tesla	0.000162989	0.036170805
New Yorker	1	7319	1787	environment	0.000724389	0.164538073
New Yorker	1	7319	1787	plastic	0.001562767	0.35623792
New Yorker	1	7319	1787	recycling	8.83E-05	0.019092745
New Yorker	1	7319	1787	recycle	2.57E-05	0.004778903
New Yorker	1	7319	1787	solar	0.000299684	0.067426886
New Yorker	1	7319	1787	tesla	0.000108474	0.023705643
Refinery 29	1	32	16	environment	0.000947639	0.215585442
Refinery 29	1	32	16	plastic	0.00114783	0.26136024
Refinery 29	1	32	16	recycling	0.000121311	0.026640896
Refinery 29	1	32	16	recycle	6.26E-05	0.013216295
Refinery 29	1	32	16	solar	0.000250782	0.056245168
Refinery 29	1	32	16	tesla	3.59E-05	0.00711119
Vice	1	2326	625	environment	0.001773454	0.404412688
Vice	1	2326	625	plastic	0.001124275	0.255974257
Vice	1	2326	625	recycling	0.000171534	0.038124667
Vice	1	2326	625	recycle	5.40E-05	0.011249857
Vice	1	2326	625	solar	0.000751131	0.170652782
Vice	1	2326	625	tesla	0.000197022	0.043952642
Vox	1	24542	14282	environment	0.001400258	0.319079323
Vox	1	24542	14282	plastic	0.000493676	0.111784248
Vox	1	24542	14282	recycling	8.44E-05	0.018200988
Vox	1	24542	14282	recycle	3.30E-05	0.006448089
Vox	1	24542	14282	solar	0.00107428	0.244542619
Vox	1	24542	14282	tesla	0.000867103	0.197170432
CNN	2	40916	43565	environment	0.001290162	0.293905253
CNN	2	40916	43565	plastic	0.000729747	0.16576321
CNN	2	40916	43565	recycling	8.84E-05	0.01911561
CNN	2	40916	43565	recycle	2.89E-05	0.005510601
CNN	2	40916	43565	solar	0.000605141	0.137271347
CNN	2	40916	43565	tesla	0.000454115	0.102738403
Economist	2	4453	7969	environment	0.00113949	0.259453252
Economist	2	4453	7969	plastic	0.000761913	0.173118147
Economist	2	4453	7969	recycling	0.000218241	0.048804485
Economist	2	4453	7969	recycle	5.70E-05	0.011935824
Economist	2	4453	7969	solar	0.001003331	0.228319731
Economist	2	4453	7969	tesla	0.000456762	0.103343654
Gizmodo	2	176	143	environment	0.00187102	0.426721703
Gizmodo	2	176	143	plastic	0.001554024	0.354238784
Gizmodo	2	176	143	recycling	0.00014983	0.033161925
Gizmodo	2	176	143	recycle	7.80E-05	0.016737592
Gizmodo	2	176	143	solar	0.003397802	0.775828997
Gizmodo	2	176	143	tesla	0.001419053	0.323376905
Politico	2	20699	27588	environment	0.001014574	0.230890506
Politico	2	20699	27588	plastic	8.85E-05	0.019138476
Politico	2	20699	27588	recycling	4.32E-05	0.008780376
Politico	2	20699	27588	recycle	4.80E-06	0
Politico	2	20699	27588	solar	0.000218704	0.048910353
Politico	2	20699	27588	tesla	5.71E-05	0.011958689
The New York Times	2	25030	34696	environment	0.001012132	0.230332129
The New York Times	2	25030	34696	plastic	0.00067583	0.153434785
The New York Times	2	25030	34696	recycling	0.000113831	0.024930552
The New York Times	2	25030	34696	recycle	2.95E-05	0.005647794
The New York Times	2	25030	34696	solar	0.000498671	0.112926383
The New York Times	2	25030	34696	tesla	0.000380985	0.086016817
The Verge	2	695	466	environment	0.001459613	0.332651177
The Verge	2	695	466	plastic	0.001165221	0.26533679
The Verge	2	695	466	recycling	0.00015337	0.033971366
The Verge	2	695	466	recycle	6.89E-05	0.014656826
The Verge	2	695	466	solar	0.001431669	0.326261625
The Verge	2	695	466	tesla	0.004378189	1
Washington Post	2	32505	21347	environment	0.001160329	0.264218207
Washington Post	2	32505	21347	plastic	0.001151859	0.262281494
Washington Post	2	32505	21347	recycling	0.000160921	0.035697945
Washington Post	2	32505	21347	recycle	9.32E-05	0.020213157
Washington Post	2	32505	21347	solar	0.0001948	0.043444569
Washington Post	2	32505	21347	tesla	0.000491234	0.111225871
Axios	3	3519	3846	environment	0.001354366	0.308585859
Axios	3	3519	3846	plastic	0.000463714	0.104933268
Axios	3	3519	3846	recycling	8.95E-05	0.019367132
Axios	3	3519	3846	recycle	1.60E-05	0.002560943
Axios	3	3519	3846	solar	0.002165066	0.493956975
Axios	3	3519	3846	tesla	0.002069125	0.472019525
Business Insider	3	2912	4224	environment	0.001465916	0.334092394
Business Insider	3	2912	4224	plastic	0.001393583	0.317553046
Business Insider	3	2912	4224	recycling	0.000105212	0.022959769
Business Insider	3	2912	4224	recycle	8.08E-05	0.017377828
Business Insider	3	2912	4224	solar	0.000929525	0.211443574
Business Insider	3	2912	4224	tesla	0.002488911	0.568005956
CNBC	3	2483	5600	environment	0.002341902	0.534391521
CNBC	3	2483	5600	plastic	0.000470306	0.106440566
CNBC	3	2483	5600	recycling	0.000127203	0.027988135
CNBC	3	2483	5600	recycle	3.46E-05	0.006813938
CNBC	3	2483	5600	solar	0.001013667	0.230683116
CNBC	3	2483	5600	tesla	0.003651573	0.833855164
Reuters	3	14576	7822	environment	0.001861413	0.424525008
Reuters	3	14576	7822	plastic	0.000490975	0.111166649
Reuters	3	14576	7822	recycling	0.00014092	0.031124604
Reuters	3	14576	7822	recycle	2.53E-05	0.00468744
Reuters	3	14576	7822	solar	0.001018995	0.231901393
Reuters	3	14576	7822	tesla	0.00112801	0.256828286
TechCrunch	3	464	315	environment	0.002154702	0.491587188
TechCrunch	3	464	315	plastic	0.000497458	0.112649023
TechCrunch	3	464	315	recycling	0.000110151	0.024089099
TechCrunch	3	464	315	recycle	4.12E-05	0.008323065
TechCrunch	3	464	315	solar	0.001193188	0.271731602
TechCrunch	3	464	315	tesla	0.003841084	0.87718792
The Hill	3	13321	17634	environment	0.001557878	0.355120022
The Hill	3	13321	17634	plastic	0.001020273	0.232193615
The Hill	3	13321	17634	recycling	6.38E-05	0.013490682
The Hill	3	13321	17634	recycle	1.50E-05	0.002332287
The Hill	3	13321	17634	solar	0.000626264	0.14210124
The Hill	3	13321	17634	tesla	0.000174878	0.038889292
Wired	3	226	322	environment	0.001860092	0.424222954
Wired	3	226	322	plastic	0.001743247	0.397505687
Wired	3	226	322	recycling	0.000222382	0.049751348
Wired	3	226	322	recycle	7.92E-05	0.017011979
Wired	3	226	322	solar	0.002751503	0.628049094
Wired	3	226	322	tesla	0.002532891	0.57806223
Fox News	4	35556	42785	environment	0.000965075	0.219572281
Fox News	4	35556	42785	plastic	0.000794588	0.18058947
Fox News	4	35556	42785	recycling	3.96E-05	0.007957216
Fox News	4	35556	42785	recycle	1.37E-05	0.002035035
Fox News	4	35556	42785	solar	0.000578436	0.131165099
Fox News	4	35556	42785	tesla	0.000315095	0.070950698